epoch,acc,loss,val_acc,val_loss
0,0.450284096395,1.58433184082,0.501467820641,0.899727664211
1,0.678877853805,0.97458661307,0.637518949328,0.708285103242
2,0.736143477667,0.800690955465,0.702320090207,0.590092656287
3,0.766839499365,0.694483382323,0.786292632421,0.646319811994
4,0.785099438646,0.641137906638,0.818726321061,0.540376407631
5,0.802968756719,0.58520708626,0.821022720048,0.519005278746
6,0.803210238977,0.580599661849,0.812784108249,0.545900818976
7,0.812436090816,0.553480783105,0.813589018403,0.537927496614
8,0.826988645033,0.513116775047,0.841879741712,0.490049169822
9,0.820909098062,0.525412343849,0.830516105348,0.521294422222
10,0.833963071758,0.487487371401,0.850047344511,0.4689016586
11,0.837251429124,0.478034972061,0.845785970038,0.460268674475
12,0.841988637772,0.461993324757,0.844578585841,0.507923615701
13,0.84514915022,0.459194720469,0.835866494612,0.484953706463
14,0.84232954708,0.456264568323,0.8418560588,0.475888534929
15,0.847599432685,0.448395080187,0.847490518382,0.469994912545
16,0.845298297839,0.454117622565,0.846022750392,0.46020174162
17,0.851697444916,0.430137362534,0.842897709572,0.47161057456
18,0.855440337008,0.423582288487,0.856841853171,0.436741757574
19,0.85355824774,0.424532390183,0.848177062743,0.486355009404
20,0.857656254552,0.412905018573,0.85044980591,0.453966255441
21,0.856065341559,0.422899145836,0.844578603903,0.460609869523
22,0.85404119329,0.423225779967,0.834943193378,0.511854038997
23,0.855809660933,0.415635388819,0.858735797983,0.434147489793
24,0.863629265807,0.396915508536,0.84609374133,0.473463072921
25,0.865781251409,0.385556235368,0.853243376269,0.446412990491
26,0.865241479332,0.386895334721,0.862807757927,0.430100750743
27,0.866150570999,0.383772322806,0.854285034266,0.451741579807
28,0.863401987336,0.393984816562,0.847679923881,0.450854749391
29,0.872109373591,0.368469365212,0.857883523811,0.440972749934
