epoch,acc,loss,sparse_categorical_accuracy,val_acc,val_loss,val_sparse_categorical_accuracy
0,0.562940348685,1.28208894323,0.562940348685,0.580634482882,1.07792284633,0.580634482882
1,0.683252848549,0.941329692981,0.683252848549,0.680137313677,1.01686494459,0.680137313677
2,0.724815351313,0.833904235471,0.724815351313,0.623579574354,1.18327482541,0.693579574354
3,0.735127854347,0.801866150986,0.735127854347,0.708030315312,1.59266965678,0.578030315312
4,0.756953134862,0.74021751122,0.756953134862,0.736671417048,0.810508130175,0.736671417048
5,0.765518479997,0.708858654445,0.765518479997,0.693276515693,1.63431549795,0.693276515693
6,0.78489347913,0.643703761426,0.78489347913,0.717959292224,1.80198243893,0.627959292224
7,0.785511371764,0.644699992104,0.785511371764,0.77682294087,0.7374762974,0.77682294087
8,0.804055403579,0.587670021843,0.804055403579,0.766903402227,0.777329602025,0.766903402227
9,0.812869326635,0.550391860577,0.812869326635,0.740743378798,0.791284489812,0.740743378798
10,0.80159091245,0.591427443515,0.80159091245,0.790175201315,0.678715600209,0.790175201315
11,0.802194608883,0.579802534526,0.802194608883,0.783262319637,0.701205747597,0.783262319637
12,0.824765622616,0.537367014045,0.824765622616,0.773413822506,0.826482218323,0.773413822506
13,0.830149149895,0.49853845049,0.830149149895,0.741098491531,0.893976951187,0.741098491531
14,0.840625009212,0.487295886603,0.840625009212,0.728480137659,0.773612889377,0.728480137659
15,0.838664770126,0.49116561169,0.838664770126,0.75909092932,0.79029267936,0.75909092932
16,0.842215914076,0.469637581164,0.842215914076,0.780729189064,0.739446786317,0.780729189064
17,0.861150569807,0.412232167883,0.861150569807,0.848981996377,0.466181761388,0.848981996377
18,0.876697449793,0.360806915299,0.876697449793,0.850615521272,0.488693771489,0.850615521272
19,0.878167616779,0.349287037416,0.878167616779,0.854829546177,0.474683122201,0.854829546177
20,0.882201701403,0.337298480083,0.882201701403,0.8396306941,0.505301033006,0.8396306941
21,0.884502841668,0.328539307551,0.884502841668,0.839867431106,0.509655512644,0.839867431106
22,0.88366477056,0.328571612997,0.88366477056,0.846093746749,0.496930120569,0.846093746749
23,0.885859370773,0.322937921909,0.885859370773,0.850165719336,0.475792112224,0.850165719336
24,0.894723010063,0.295901738378,0.894723010063,0.862334273078,0.441306684053,0.862334273078
25,0.897208800641,0.290226329592,0.897208800641,0.859019897201,0.469854321444,0.859019897201
26,0.894453119148,0.30029484799,0.894453119148,0.854900566014,0.475252066146,0.854900566014
27,0.898835219578,0.286415754123,0.898835219578,0.857267990257,0.472549871062,0.857267990257
28,0.899374994907,0.287781096318,0.899374994907,0.85258048231,0.481031510866,0.85258048231
